5222,0.17,0.03,0.95,-193,-63,-587,-10.16,-0.77,2.43,22.66,20.60,83236,20.87,20.37,435
5396,0.16,0.03,0.94,-195,-65,-590,-10.50,-0.70,2.16,23.00,20.60,83239,20.87,20.37,433
5570,0.17,0.03,0.95,-193,-66,-587,-10.85,-0.63,2.37,22.71,20.50,83242,20.87,20.37,438
5742,0.17,0.04,0.95,-192,-64,-586,-10.57,-0.63,2.16,22.60,20.60,83240,20.81,20.37,471
5916,0.17,0.04,0.95,-194,-65,-588,-10.64,-0.56,2.30,22.83,20.60,83244,20.81,20.37,436
6090,0.17,0.03,0.95,-195,-64,-588,-10.78,-0.56,2.02,22.77,20.60,83238,20.81,20.37,437
6264,0.17,0.04,0.96,-197,-62,-586,-10.37,-0.63,2.23,22.60,20.60,83238,20.81,20.37,436
6436,0.17,0.03,0.95,-194,-63,-586,-10.43,-0.70,2.16,22.83,20.60,83239,20.81,20.37,438
6610,0.17,0.03,0.95,-194,-65,-587,-10.64,-0.83,2.09,22.66,20.60,83241,20.81,20.37,436
6785,0.17,0.03,0.95,-195,-63,-590,-10.50,-0.56,2.30,22.77,20.60,83249,20.81,20.37,438
6961,0.16,0.03,0.95,-197,-63,-588,-10.78,-0.42,2.30,22.83,20.60,83242,20.81,20.37,438
7135,0.17,0.03,0.95,-195,-64,-590,-10.43,-0.70,2.16,22.60,20.60,83238,20.81,20.37,435
7309,0.17,0.03,0.94,-193,-63,-587,-10.57,-0.63,1.95,23.06,20.60,83242,20.81,20.37,440
7483,0.17,0.03,0.94,-195,-64,-586,-10.50,-0.56,2.02,22.83,20.60,83240,20.81,20.37,436
7659,0.17,0.04,0.95,-194,-65,-590,-10.37,-0.70,2.23,22.71,20.60,83241,20.81,20.37,435
7833,0.17,0.03,0.94,-195,-60,-587,-10.78,-0.49,2.30,23.11,20.60,83243,20.87,20.37,439
8007,0.17,0.04,0.94,-193,-61,-586,-10.99,-0.49,2.30,22.66,20.60,83244,20.87,20.37,438
8181,0.17,0.03,0.94,-195,-65,-589,-10.50,-0.56,2.50,22.89,20.60,83245,20.87,20.37,440
8355,0.17,0.04,0.95,-194,-67,-591,-10.57,-0.63,2.23,22.83,20.60,83246,20.87,20.37,437
8529,0.17,0.03,0.94,-195,-64,-587,-10.43,-0.63,2.37,22.89,20.60,83245,20.81,20.37,439
8704,0.17,0.04,0.94,-194,-66,-586,-10.09,-0.97,2.30,23.00,20.60,83241,20.81,20.37,435
8878,0.17,0.03,0.95,-193,-66,-589,-10.57,-0.42,2.23,22.71,20.60,83238,20.81,20.37,437
9052,0.17,0.04,0.95,-196,-63,-588,-10.99,-0.63,2.23,22.83,20.60,83240,20.81,20.37,435
9226,0.18,0.02,0.95,-192,-65,-587,-10.92,-0.35,2.57,22.54,20.60,83241,20.87,20.37,437
9402,0.18,0.03,0.95,-197,-62,-588,-10.23,-0.90,2.16,22.83,20.60,83244,20.87,20.37,438
9576,0.17,0.03,0.94,-195,-64,-586,-10.37,-0.56,2.23,22.77,20.60,83243,20.87,20.37,437
9750,0.17,0.03,0.95,-195,-64,-587,-10.64,-0.56,2.16,22.60,20.60,83242,20.87,20.37,416
9924,0.17,0.03,0.95,-194,-62,-589,-10.16,-0.56,2.37,22.89,20.60,83234,20.87,20.37,435
10098,0.17,0.03,0.94,-195,-67,-591,-10.71,-0.42,2.23,22.71,20.60,83238,20.87,20.37,437
10272,0.17,0.03,0.95,-196,-65,-590,-10.78,-0.42,2.23,22.71,20.60,83239,20.87,20.37,438
10444,0.17,0.03,0.95,-196,-63,-589,-10.71,-0.77,2.16,22.77,20.60,83239,20.87,20.37,439
10618,0.17,0.03,0.94,-193,-64,-586,-10.78,-0.56,2.30,23.00,20.60,83245,20.87,20.37,435
10792,0.17,0.03,0.95,-196,-63,-589,-10.16,-0.83,2.16,23.00,20.60,83245,20.87,20.37,438
10967,0.17,0.03,0.95,-196,-62,-590,-10.23,-0.63,2.09,23.11,20.60,83244,20.87,20.37,436
11141,0.17,0.04,0.95,-195,-67,-586,-10.57,-0.56,1.95,22.89,20.60,83245,20.87,20.37,437
11315,0.17,0.03,0.96,-193,-65,-589,-10.78,-0.42,2.37,22.77,20.60,83244,20.87,20.37,441
11489,0.17,0.03,0.94,-192,-64,-588,-10.99,-0.70,2.23,22.71,20.60,83243,20.87,20.37,438
11663,0.17,0.03,0.95,-196,-66,-590,-10.64,-0.49,2.37,22.66,20.60,83245,20.87,20.37,439
11839,0.18,0.03,0.94,-194,-63,-589,-10.09,-0.90,2.16,22.83,20.60,83246,20.87,20.37,440
12015,0.17,0.03,0.94,-194,-62,-585,-10.78,-0.63,2.09,22.83,20.60,83243,20.87,20.37,438
12189,0.18,0.03,0.94,-196,-62,-589,-10.71,-0.49,2.16,22.83,20.60,83238,20.87,20.37,438
12363,0.17,0.03,0.94,-193,-62,-591,-10.37,-0.21,1.81,23.00,20.60,83244,20.87,20.37,441
12537,0.17,0.03,0.94,-194,-62,-588,-10.43,-0.70,2.43,22.77,20.60,83243,20.87,20.37,439
12711,0.18,0.03,0.95,-193,-62,-584,-10.16,-0.77,2.37,22.83,20.60,83242,20.87,20.44,438
12883,0.17,0.04,0.94,-198,-64,-590,-10.16,-0.42,1.81,22.83,20.60,83241,20.87,20.44,439
13058,0.17,0.03,0.95,-194,-63,-585,-9.81,-0.83,2.09,22.83,20.60,83238,20.87,20.44,442
13232,0.17,0.03,0.94,-195,-64,-589,-10.57,-0.42,2.02,23.00,20.60,83238,20.87,20.44,442
13406,0.17,0.03,0.95,-196,-62,-590,-10.71,-0.28,2.23,23.11,20.60,83242,20.87,20.44,437
13580,0.17,0.03,0.95,-197,-66,-586,-10.64,-0.28,2.37,23.00,20.60,83242,20.87,20.44,442
13754,0.17,0.03,0.93,-194,-61,-588,-10.57,-0.42,2.09,22.89,20.60,83242,20.87,20.44,438
13928,0.17,0.04,0.95,-195,-63,-590,-10.43,-0.49,2.50,22.83,20.60,83243,20.87,20.44,439
14104,0.17,0.03,0.94,-194,-64,-588,-9.95,-0.83,2.43,22.71,20.60,83246,20.87,20.44,441
14278,0.17,0.03,0.93,-198,-65,-589,-10.64,-0.56,2.23,22.77,20.60,83239,20.87,20.44,438
14452,0.17,0.03,0.95,-192,-63,-586,-10.64,-0.35,2.37,23.06,20.60,83236,20.87,20.44,438
14626,0.17,0.03,0.95,-195,-63,-589,-10.78,-0.63,2.43,22.77,20.60,83240,20.87,20.44,420
14800,0.17,0.03,0.94,-192,-64,-590,-10.57,-0.63,2.37,23.00,20.60,83235,20.87,20.37,441
14972,0.17,0.03,0.95,-197,-65,-591,-10.23,-0.56,2.37,22.94,20.60,83236,20.87,20.37,441
15147,0.17,0.03,0.94,-194,-65,-587,-10.43,-0.63,2.43,22.89,20.60,83241,20.87,20.37,439
15323,0.17,0.04,0.94,-193,-62,-587,-10.50,-0.35,2.02,22.60,20.60,83245,20.87,20.37,417
15497,0.18,0.03,0.95,-193,-62,-587,-10.92,-0.56,2.02,22.89,20.60,83241,20.87,20.44,437
15671,0.17,0.03,0.95,-192,-64,-587,-10.92,-0.83,2.16,23.00,20.60,83241,20.87,20.44,437
15845,0.17,0.03,0.95,-193,-62,-590,-10.57,-0.63,2.37,23.00,20.60,83243,20.87,20.44,439
16019,0.17,0.03,0.95,-192,-65,-587,-10.50,-0.56,2.16,23.00,20.60,83240,20.87,20.44,437
16195,0.17,0.03,0.94,-192,-67,-588,-10.09,-0.56,2.30,23.00,20.60,83240,20.87,20.44,441
16369,0.17,0.04,0.94,-196,-65,-588,-10.85,-0.35,2.23,22.89,20.60,83240,20.87,20.44,433
16541,0.17,0.03,0.95,-191,-65,-588,-10.71,-0.49,2.37,23.11,20.60,83246,20.87,20.44,438
16715,0.17,0.03,0.94,-195,-64,-589,-10.64,-0.56,2.23,23.00,20.60,83243,20.87,20.44,439
16889,0.17,0.03,0.95,-194,-62,-588,-10.78,-0.56,2.16,22.71,20.60,83241,20.87,20.37,437
17063,0.17,0.04,0.94,-191,-63,-588,-10.71,-0.42,2.16,22.89,20.60,83244,20.87,20.37,440
17238,0.17,0.04,0.95,-193,-63,-587,-10.43,-0.97,2.16,23.11,20.60,83242,20.87,20.37,438
17414,0.17,0.03,0.94,-194,-65,-587,-10.16,-0.56,2.50,22.83,20.60,83242,20.87,20.37,439
17590,0.17,0.03,0.94,-195,-63,-587,-10.64,-0.49,2.23,22.94,20.60,83239,20.87,20.37,440
17764,0.17,0.03,0.95,-195,-65,-585,-10.37,-0.56,2.30,22.94,20.60,83242,20.87,20.37,440
17938,0.17,0.03,0.94,-196,-64,-589,-10.37,-0.77,2.16,23.00,20.60,83240,20.87,20.37,438
18112,0.17,0.03,0.95,-197,-63,-589,-10.30,-0.77,2.16,23.00,20.60,83238,20.87,20.37,437
18284,0.18,0.03,0.94,-195,-63,-590,-10.23,-0.56,2.16,22.89,20.60,83246,20.87,20.44,436
18458,0.17,0.03,0.94,-193,-65,-587,-10.02,-0.70,1.95,22.77,20.60,83243,20.87,20.44,437
18632,0.17,0.03,0.96,-192,-63,-588,-10.57,-0.56,2.23,23.00,20.60,83244,20.87,20.44,437
18806,0.17,0.03,0.95,-194,-64,-589,-10.64,-0.42,2.30,22.94,20.60,83245,20.87,20.44,436
18980,0.17,0.04,0.94,-194,-64,-586,-10.78,-0.70,2.02,22.83,20.60,83240,20.87,20.44,440
19154,0.17,0.03,0.94,-198,-65,-588,-10.50,-0.83,2.30,22.89,20.60,83241,20.87,20.44,438
19329,0.17,0.03,0.94,-196,-65,-587,-10.57,-0.70,2.23,22.94,20.60,83243,20.87,20.44,439
19503,0.17,0.03,0.95,-194,-65,-590,-10.37,-0.70,2.16,23.11,20.60,83238,20.87,20.44,439
19677,0.17,0.03,0.94,-194,-64,-588,-10.64,-0.56,2.30,22.77,20.60,83242,20.87,20.44,436
19851,0.17,0.03,0.94,-195,-63,-588,-10.71,-0.56,2.09,22.83,20.60,83243,20.87,20.44,440
20025,0.17,0.03,0.94,-193,-64,-585,-10.92,-0.42,2.09,23.11,20.60,83248,20.87,20.44,436
20201,0.17,0.03,0.94,-194,-62,-587,-10.57,-0.83,2.09,23.17,20.60,83244,20.87,20.44,439
20377,0.17,0.03,0.94,-195,-63,-587,-10.23,-0.49,2.16,22.89,20.60,83245,20.87,20.44,437
20551,0.17,0.03,0.94,-193,-63,-587,-10.92,-0.42,2.43,23.06,20.60,83242,20.87,20.44,437
20725,0.17,0.03,0.94,-196,-66,-587,-10.71,-0.49,1.95,23.00,20.60,83243,20.87,20.44,439
20899,0.17,0.03,0.95,-194,-63,-586,-10.85,-0.42,2.23,22.83,20.60,83240,20.87,20.44,440
21073,0.17,0.03,0.95,-196,-66,-587,-10.02,-0.42,2.37,22.83,20.60,83242,20.87,20.44,438
21245,0.17,0.03,0.94,-193,-64,-587,-10.50,-0.63,2.09,22.89,20.60,83242,20.87,20.44,439
21420,0.17,0.03,0.95,-194,-66,-589,-10.37,-0.83,2.02,23.00,20.60,83239,20.87,20.44,441
21596,0.17,0.03,0.94,-195,-61,-585,-10.43,-0.28,2.23,22.89,20.60,83241,20.87,20.44,440
21770,0.17,0.04,0.94,-194,-63,-590,-10.71,-0.49,2.16,23.00,20.60,83242,20.87,20.44,438
21944,0.17,0.03,0.94,-191,-64,-587,-10.85,-0.63,1.88,23.17,20.60,83240,20.87,20.44,440
22118,0.17,0.03,0.94,-194,-67,-588,-10.50,-0.63,2.09,23.06,20.60,83240,20.87,20.44,441
22292,0.18,0.03,0.95,-195,-67,-587,-10.30,-0.63,2.09,23.11,20.60,83238,20.87,20.44,438
22468,0.17,0.03,0.94,-194,-62,-587,-10.23,-0.56,2.23,22.94,20.60,83234,20.87,20.44,440
22642,0.17,0.04,0.95,-193,-66,-586,-10.92,-0.42,2.23,22.94,20.60,83245,20.87,20.44,440
22816,0.18,0.03,0.94,-194,-63,-588,-10.92,-0.42,1.95,22.83,20.60,83242,20.87,20.44,440
22990,0.17,0.03,0.94,-192,-67,-589,-10.78,-0.56,2.16,22.94,20.60,83250,20.87,20.44,438
23164,0.17,0.03,0.95,-194,-64,-587,-10.02,-0.70,2.09,23.06,20.60,83247,20.87,20.44,437
23339,0.17,0.03,0.94,-195,-65,-588,-10.02,-0.77,2.30,23.29,20.60,83241,20.87,20.44,438
23513,0.17,0.03,0.94,-195,-63,-585,-10.37,-0.70,2.16,23.00,20.60,83242,20.87,20.44,437
23687,0.17,0.04,0.94,-195,-64,-586,-10.85,-0.49,2.23,23.29,20.60,83246,20.87,20.44,441
23861,0.17,0.03,0.95,-194,-64,-587,-10.64,-0.49,2.16,23.34,20.60,83242,20.87,20.44,438
24035,0.17,0.03,0.94,-193,-64,-586,-10.85,-0.49,2.43,23.17,20.60,83241,20.87,20.44,442
24211,0.17,0.03,0.95,-194,-62,-585,-10.16,-0.63,2.09,22.94,20.60,83244,20.87,20.44,439
24387,0.17,0.03,0.94,-195,-61,-587,-10.50,-0.42,2.50,23.06,20.60,83240,20.87,20.44,443
24561,0.17,0.03,0.94,-195,-66,-587,-10.71,-0.56,2.37,23.00,20.60,83241,20.87,20.44,440
24735,0.17,0.03,0.95,-196,-62,-589,-10.23,-0.63,2.02,23.06,20.60,83244,20.87,20.44,439
24909,0.17,0.03,0.94,-191,-66,-588,-10.30,-0.70,2.23,23.23,20.60,83240,20.87,20.44,439
25083,0.18,0.03,0.96,-197,-66,-588,-10.16,-1.11,2.09,22.94,20.60,83241,20.87,20.44,443
25257,0.16,0.03,0.94,-197,-62,-589,-10.37,-0.90,2.16,23.06,20.60,83239,20.87,20.44,441
25432,0.17,0.04,0.94,-193,-63,-587,-10.57,-0.42,2.16,23.11,20.60,83239,20.87,20.44,442
25608,0.17,0.03,0.95,-194,-63,-589,-10.64,-0.63,1.95,22.89,20.60,83235,20.87,20.44,439
25782,0.17,0.03,0.93,-196,-63,-587,-10.30,-0.70,2.02,23.11,20.60,83237,20.87,20.44,442
25956,0.17,0.03,0.95,-195,-65,-587,-10.09,-0.49,2.16,22.94,20.60,83239,20.87,20.44,438
26130,0.17,0.03,0.95,-195,-65,-587,-10.02,-0.56,2.09,23.00,20.60,83236,20.87,20.44,438
26304,0.17,0.03,0.94,-194,-66,-585,-10.85,-0.49,1.88,23.06,20.60,83236,20.87,20.44,440
26480,0.18,0.03,0.95,-194,-67,-586,-10.78,-0.70,2.02,22.94,20.60,83240,20.87,20.44,439
26654,0.17,0.03,0.94,-195,-64,-590,-10.43,-0.70,2.02,23.00,20.60,83240,20.87,20.44,438
26826,0.16,0.03,0.94,-194,-64,-584,-10.37,-0.42,1.88,22.94,20.60,83238,20.87,20.44,435
27000,0.17,0.03,0.95,-194,-64,-589,-10.16,-1.11,2.02,23.06,20.60,83237,20.87,20.44,437
27174,0.17,0.04,0.94,-194,-62,-586,-10.09,-0.77,2.37,23.00,20.60,83237,20.87,20.44,439
27346,0.17,0.03,0.95,-191,-65,-587,-10.09,-0.70,2.37,23.00,20.60,83242,20.87,20.44,439
